Index,STD_BusClassID,STD_BusInstanceID,STD_BusMemberID,ClassName,Module,MemberName,Description,RangeEnumeration,DefaultValue,DataType,Access
1,57,1,1,"Temperature Input",1,"Unfiltered Process Value","Engineering value after sensor conversion and linearization but before filtering.","-99999.0 to 99999.0",,"IEEE Float32","R"
2,57,1,2,"Temperature Input",1,"Input Error","Monitor the current sensor input error.","None (61); Open (65); Shorted (127); Measurement Error (140); Bad Calibration Data (139); Ambient Error (9); RTD Error (141); Fail (32)","None (61)","Enumeration16","R"
3,57,1,3,"Temperature Input",1,"Filter Time Constant","First-order input filter time constant in seconds. Zero disables filtering.","0.0 to 60.0 s",0.5,"IEEE Float32","R/W"
4,57,1,4,"Temperature Input",1,"Filtered Process Value","Engineering value after the configured input filter.","-99999.0 to 99999.0",,"IEEE Float32","R"
5,57,1,5,"Temperature Input",1,"Sensor Type","Select the sensor input family.","Off (62); Thermocouple (95); RTD 100 Ohm (113); RTD 1000 Ohm (114)","Off (62)","Enumeration16","R/W"
6,57,1,6,"Temperature Input",1,"TC Linearization","Select thermocouple linearization when Sensor Type is Thermocouple.","B (11); C (15); D (23); E (26); J (46); K (48); N (58); R (80); S (84); T (93)","J (46)","Enumeration16","R/W"
